,Admin1,Admin2,Admin3,Pop_HNO _2017,IDPs_estimates_for_the_HNO_2017,CCCM_PiN_2017,Education_PiN_2017,Health_PiN_2017,Nutrition_PiN_2017,Protection_PiN_2017,NFI_PiN_2017,Shelter_PiN_2017,WASH_PiN_2017,FS_PiN_2017,ERL_PiN_2017,Intersector_PiN
128,Dar'a,As-Sanamayn,Ghabagheb,44880.0,14300.0,14300.0,14634.0,31084.0,9245.28,31084.0,17952.0,8976.0,14489.0,17952.0,26333.0,31084.0
129,Aleppo,A'zaz,Nabul,40540.0,845.0,845.0,13205.0,28078.0,9445.82,28078.0,8108.0,4054.0,1059.0,24324.0,21059.0,28078.0
130,Rural Damascus,Az-Zabdani,Ein Elfijeh,40900.0,9520.0,9520.0,13420.0,28327.0,9161.6,40900.0,16360.0,16360.0,40900.0,14929.0,22274.0,40900.0
131,Idleb,Al Ma'ra,Heish,48790.0,25380.0,25380.0,16026.0,33792.0,10054.3,33792.0,19516.0,9758.0,25380.0,15125.0,28433.0,33792.0
132,Dar'a,Dar'a,Jizeh,32160.0,21335.0,21335.0,10666.0,22274.0,6624.96,22274.0,12864.0,6432.0,21335.0,9262.0,15314.0,22274.0
133,Al-Hasakeh,Ras Al Ain,Darbasiyah,40120.0,6350.0,6350.0,13069.0,27787.0,8264.72,27787.0,8024.0,16048.0,10693.0,20862.0,20598.0,27787.0
134,Aleppo,Menbij,Abu Qalqal,43170.0,9844.0,9844.0,14868.0,29900.0,10058.61,29900.0,8634.0,4317.0,14066.0,17491.0,22426.0,29900.0
135,Homs,Tall Kalakh,Hawash,40663.0,25225.0,25225.0,13112.0,28163.0,10572.38,28163.0,8133.0,16265.0,25225.0,17005.0,11618.0,28163.0
136,Dar'a,Dar'a,Busra Esh-Sham,37430.0,14690.0,14690.0,12270.0,25924.0,7710.58,25924.0,7486.0,3743.0,14690.0,10780.0,16863.0,25924.0
137,Homs,Al Makhrim,Al Makhrim,45450.0,2680.0,2680.0,14605.0,31479.0,11817.0,31479.0,4545.0,9090.0,2680.0,23435.0,17314.0,31479.0
138,Aleppo,Jebel Saman,Haritan,23630.0,5925.0,5925.0,7801.0,16366.0,5505.79,18067.0,9452.0,4726.0,5925.0,18067.0,12153.0,18067.0
139,Idleb,Al Ma'ra,Tamanaah,37360.0,12250.0,12250.0,12230.0,25876.0,7847.43,25876.0,7472.0,7472.0,12250.0,10760.0,22877.0,25876.0
140,Idleb,Idleb,Teftnaz,27700.0,12640.0,12640.0,9080.0,19185.0,5872.7,19185.0,11080.0,5540.0,12640.0,8864.0,15252.0,19185.0
141,Lattakia,Al-Qardaha,Jobet Berghal,4430.0,90.0,90.0,1442.0,3068.0,1151.8,3068.0,443.0,886.0,90.0,2561.0,2301.0,3068.0
142,Idleb,Jisr-Ash-Shugur,Janudiyeh,35810.0,23160.0,23160.0,11623.0,24802.0,7663.62,24802.0,14324.0,7162.0,23160.0,10313.0,20714.0,24802.0
143,Aleppo,As-Safira,As-Safira,25890.0,105.0,105.0,8369.0,17931.0,6032.37,17931.0,5178.0,2589.0,105.0,12382.0,13449.0,17931.0
144,Hama,As-Salamiyeh,As-Saan,9700.0,1280.0,1280.0,3176.0,6718.0,2522.0,6718.0,970.0,970.0,1390.0,2716.0,6646.0,6718.0
145,Idleb,Harim,Armanaz,39000.0,13130.0,13130.0,12984.0,27011.0,7645.2,27011.0,7800.0,3900.0,13130.0,19061.0,21658.0,27011.0
146,Tartous,Dreikish,Dreikish,41160.0,14200.0,14200.0,13290.0,28507.0,10331.16,28507.0,8232.0,16464.0,14200.0,10290.0,23520.0,28507.0
147,Dar'a,Dar'a,Ash-Shajara,34950.0,7310.0,7310.0,11345.0,24102.0,7199.7,24102.0,6990.0,6990.0,9935.0,19572.0,18172.0,24102.0
148,Tartous,Tartous,Soda Khawabi,37100.0,17310.0,17310.0,12212.0,25695.0,9312.1,25695.0,7420.0,7420.0,17310.0,18086.0,21200.0,25695.0
149,As-Sweida,Shahba,Shaqa,20695.0,3530.0,3530.0,6802.0,14333.0,4449.43,14333.0,2070.0,2070.0,3530.0,10115.0,10512.0,14333.0
150,Rural Damascus,Duma,Dhameer,36900.0,15820.0,15820.0,11939.0,25557.0,8265.6,35820.0,14760.0,14760.0,35820.0,20554.0,6970.0,35820.0
151,Homs,Homs,Raqama,21890.0,6340.0,6340.0,7179.0,15161.0,5691.4,15161.0,4378.0,4378.0,6340.0,10398.0,11371.0,15161.0
152,Rural Damascus,Yabroud,Yabroud,32090.0,15600.0,15600.0,10517.0,22226.0,7188.16,22226.0,12836.0,12836.0,15600.0,14975.0,1528.0,22226.0
153,Lattakia,Lattakia,Hanadi,13750.0,710.0,710.0,4502.0,9523.0,3575.0,9523.0,1375.0,1375.0,710.0,5964.0,7143.0,9523.0
154,Hama,Muhradah,Karnaz,7440.0,2280.0,2280.0,2446.0,5153.0,1934.4,5153.0,1488.0,1488.0,2280.0,2258.0,3865.0,5153.0
155,Deir-ez-Zor,Deir-ez-Zor,Sur,38450.0,2080.0,2080.0,12476.0,26630.0,8235.14,26630.0,3845.0,3845.0,6843.0,21046.0,19974.0,26630.0
156,Ar-Raqqa,Ath-Thawrah,Jurneyyeh,26540.0,6200.0,6200.0,8704.0,18382.0,5467.24,25759.0,5308.0,2654.0,8859.0,25759.0,13787.0,25759.0
157,Al-Hasakeh,Quamishli,Tal Hmis,28170.0,0.0,0.0,9213.0,19511.0,5803.02,19511.0,5634.0,11268.0,3718.0,15494.0,15203.0,19511.0
158,Rural Damascus,Az-Zabdani,Az-Zabdani,34190.0,14360.0,14360.0,11285.0,23680.0,7658.56,26007.0,13676.0,20514.0,26007.0,18463.0,17860.0,26007.0
159,Hama,Masyaf,Wadi El-oyoun,26700.0,8160.0,8160.0,8756.0,18492.0,6942.0,18492.0,2670.0,10680.0,8160.0,15019.0,3179.0,18492.0
160,Al-Hasakeh,Al-Hasakeh,Markada,35700.0,8335.0,8335.0,10210.0,24726.0,7354.2,24726.0,21420.0,7140.0,11797.0,10417.0,20400.0,24726.0
161,Hama,Masyaf,Jeb Ramleh,36500.0,50.0,50.0,11970.0,25280.0,9490.0,25280.0,3650.0,3650.0,50.0,20988.0,18961.0,25280.0
162,Aleppo,Al Bab,Tadaf,21001.0,1908.0,1908.0,6897.0,14545.0,4893.23,14545.0,4200.0,2100.0,4394.0,10591.0,10909.0,14545.0
163,Rural Damascus,Duma,Nashabiyeh,20190.0,6660.0,6660.0,6594.0,13984.0,4522.56,18410.0,8076.0,4038.0,18410.0,6070.0,11211.0,18410.0
164,Al-Hasakeh,Al-Malikeyyeh,Jawadiyah,29430.0,535.0,535.0,10052.0,20383.0,6062.58,20383.0,5886.0,11772.0,4340.0,11147.0,18958.0,20383.0
165,Idleb,Ariha,Mhambal,27370.0,6010.0,6010.0,8907.0,18956.0,5910.55,18956.0,5474.0,2737.0,6010.0,11323.0,15167.0,18956.0
166,Deir-ez-Zor,Deir-ez-Zor,Muhasan,29940.0,5720.0,5720.0,9816.0,20736.0,6168.81,20736.0,5988.0,2994.0,8814.0,19760.0,6843.0,20736.0
167,Hama,As-Suqaylabiyah,As-Suqaylabiyah,35450.0,2100.0,2100.0,11626.0,24553.0,9217.0,24553.0,7090.0,7090.0,2100.0,17725.0,18415.0,24553.0
168,Tartous,Sheikh Badr,Sheikh Badr,29590.0,10610.0,10610.0,9567.0,20494.0,7427.09,20494.0,5918.0,5918.0,10610.0,12409.0,16439.0,20494.0
169,Aleppo,Jebel Saman,Hadher,900.0,0.0,0.0,295.0,623.0,209.7,623.0,90.0,90.0,0.0,361.0,543.0,623.0
170,Aleppo,Ain Al Arab,Sarin,23154.0,680.0,680.0,8095.0,16036.0,5394.88,16036.0,2315.0,4631.0,3634.0,11570.0,13690.0,16036.0
171,Idleb,Idleb,Bennsh,26500.0,2180.0,2180.0,8504.0,9489.0,5459.0,14980.0,2650.0,2650.0,14980.0,14840.0,7550.0,14980.0
172,Ar-Raqqa,Tell Abiad,Tell Abiad,29930.0,3075.0,3075.0,10148.0,20730.0,6466.46,20730.0,2993.0,11972.0,6565.0,20577.0,16343.0,20730.0
173,Homs,Homs,Ein Elniser,31560.0,3480.0,3480.0,10350.0,21858.0,8205.6,21858.0,3156.0,6312.0,7000.0,13019.0,16030.0,21858.0
174,Hama,As-Suqaylabiyah,Ziyara,13310.0,60.0,60.0,4368.0,9219.0,3460.6,9219.0,2662.0,1331.0,60.0,1464.0,7606.0,9219.0
175,Ar-Raqqa,Ar-Raqqa,Sabka,26635.0,1970.0,1970.0,8735.0,18447.0,5486.81,18447.0,2664.0,2664.0,5190.0,17091.0,13836.0,18447.0
176,Aleppo,Al Bab,A'rima,29390.0,6638.0,6638.0,9662.0,20356.0,6847.87,20356.0,5878.0,5878.0,9522.0,13047.0,15267.0,20356.0
177,Ar-Raqqa,Tell Abiad,Ein Issa,17732.0,1430.0,1430.0,5850.0,12281.0,3839.93,17732.0,1773.0,3546.0,3556.0,17732.0,9211.0,17732.0
178,Homs,Homs,Qabu,39100.0,2250.0,2250.0,12747.0,27081.0,10166.0,27081.0,3910.0,3910.0,2250.0,10948.0,16757.0,27081.0
179,Aleppo,A'zaz,Aghtrin,27910.0,12960.0,12960.0,9153.0,19330.0,6503.03,19330.0,0.0,11164.0,14700.0,8373.0,14498.0,19330.0
180,Deir-ez-Zor,Abu Kamal,Jalaa,28800.0,2160.0,2160.0,9378.0,19947.0,5967.9,19947.0,2880.0,2880.0,5638.0,15006.0,14961.0,19947.0
181,Homs,Tall Kalakh,Tall Kalakh,27830.0,2160.0,2160.0,9127.0,19275.0,7235.8,19275.0,2783.0,2783.0,2160.0,7862.0,14457.0,19275.0
182,Idleb,Idleb,Sarmin,9500.0,4500.0,4500.0,3107.0,6580.0,1914.25,6580.0,1900.0,950.0,4500.0,2736.0,5967.0,6580.0
183,Aleppo,Ain Al Arab,Lower Shyookh,35180.0,0.0,0.0,11292.0,8782.0,8196.94,13593.0,3518.0,3518.0,4644.0,13593.0,5852.0,13593.0
184,Aleppo,Al Bab,Rasm Haram El-Imam,7245.0,735.0,735.0,2403.0,5018.0,1688.09,5018.0,1449.0,725.0,1581.0,3105.0,3764.0,5018.0
185,Tartous,Banyas,Hamam Wasil,7160.0,930.0,930.0,2348.0,4959.0,1797.16,4959.0,716.0,1432.0,930.0,1790.0,2955.0,4959.0
186,Idleb,Harim,Kafr Takharim,20250.0,16580.0,16580.0,6691.0,14025.0,3944.48,16580.0,8100.0,8100.0,16580.0,11340.0,12343.0,16580.0
187,Homs,Al Makhrim,Jeb Ej-Jarrah,21685.0,1520.0,1520.0,6820.0,15019.0,5638.1,15019.0,2169.0,2169.0,2155.0,8599.0,11265.0,15019.0
188,Tartous,Dreikish,Jneinet Raslan,7616.0,510.0,510.0,2494.0,5275.0,1911.62,5275.0,762.0,1523.0,510.0,3332.0,3868.0,5275.0
189,Rural Damascus,Duma,Haran Al'awameed,20760.0,3410.0,3410.0,7727.0,14378.0,4650.24,14378.0,2076.0,2076.0,3410.0,6241.0,10784.0,14378.0
190,Al-Hasakeh,Quamishli,Qahtaniyyeh,26290.0,1675.0,1675.0,8590.0,18208.0,5415.74,18208.0,5258.0,5258.0,4894.0,14460.0,15261.0,18208.0
191,Hama,Masyaf,Ein Halaqim,24400.0,5450.0,5450.0,8002.0,16899.0,6344.0,16899.0,2440.0,2440.0,5450.0,13725.0,12675.0,16899.0
192,Aleppo,Afrin,Bulbul,21060.0,9250.0,9250.0,6876.0,14586.0,4906.98,14586.0,8424.0,4212.0,10642.0,6318.0,6686.0,14586.0
193,Homs,Homs,Hasyaa,20740.0,5380.0,5380.0,6802.0,14365.0,5392.4,14365.0,4148.0,8296.0,5380.0,13935.0,10774.0,14365.0
194,As-Sweida,As-Sweida,Mazra'a,17110.0,3450.0,3450.0,5611.0,11850.0,3678.65,11850.0,1711.0,1711.0,3450.0,8555.0,10320.0,11850.0
195,Al-Hasakeh,Al-Malikeyyeh,Ya'robiyah,23120.0,885.0,885.0,7545.0,16013.0,4762.72,16013.0,4624.0,4624.0,3804.0,11432.0,15046.0,16013.0
196,Aleppo,A'zaz,Mare',14139.0,1175.0,1175.0,4519.0,9793.0,3294.39,9793.0,1414.0,2828.0,2865.0,4242.0,8584.0,9793.0
197,Aleppo,Afrin,Ma'btali,21436.0,7740.0,7740.0,6973.0,14847.0,4994.59,14847.0,8574.0,2144.0,9409.0,9546.0,13357.0,14847.0
198,Hama,Muhradah,Kafr Zeita,18820.0,1580.0,1580.0,6187.0,13035.0,4893.2,13035.0,3764.0,1882.0,2193.0,5270.0,9548.0,13035.0
199,Aleppo,As-Safira,Hajeb,7110.0,1705.0,1705.0,2308.0,4924.0,1656.63,4924.0,1422.0,356.0,1705.0,2076.0,3611.0,4924.0
200,Al-Hasakeh,Al-Hasakeh,Areesheh,19810.0,680.0,680.0,6464.0,13720.0,4080.86,13720.0,3962.0,3962.0,3193.0,9603.0,11949.0,13720.0
201,Homs,Homs,Mahin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,Homs,Homs,Sadad,5600.0,20.0,20.0,1837.0,3879.0,1456.0,3879.0,560.0,560.0,20.0,2688.0,2909.0,3879.0
203,Al-Hasakeh,Al-Hasakeh,Hole,14059.0,2975.0,2975.0,4102.0,9737.0,2896.15,9737.0,5624.0,2812.0,4385.0,4049.0,8034.0,9737.0
204,Lattakia,Lattakia,Ein El-Bayda,9320.0,1310.0,1310.0,3085.0,6455.0,2423.2,6455.0,932.0,932.0,1310.0,3146.0,4734.0,6455.0
205,As-Sweida,Salkhad,Salkhad,24180.0,2680.0,2680.0,7923.0,16747.0,5198.7,16747.0,2418.0,2418.0,2680.0,9672.0,7676.0,16747.0
206,Hama,As-Suqaylabiyah,Tell Salhib,16960.0,30.0,30.0,5562.0,11746.0,4409.6,11746.0,848.0,1696.0,30.0,9559.0,8810.0,11746.0
207,Rural Damascus,Darayya,Hajar Aswad,4500.0,320.0,320.0,1483.0,3117.0,1008.0,4500.0,900.0,900.0,4500.0,3150.0,1857.0,4500.0
208,Rural Damascus,Al Qutayfah,Ma'loula,10800.0,190.0,190.0,3532.0,7480.0,2419.2,7480.0,1080.0,540.0,190.0,3544.0,5610.0,7480.0
209,Lattakia,Al-Qardaha,Fakhura,14180.0,510.0,510.0,4636.0,9821.0,3686.8,9821.0,1418.0,1418.0,510.0,5672.0,7366.0,9821.0
210,Tartous,Tartous,Hameidiyyeh,20190.0,8360.0,8360.0,6635.0,13984.0,5067.69,13984.0,8076.0,4038.0,8360.0,8443.0,12178.0,13984.0
211,Tartous,Banyas,Qadmous,20220.0,3850.0,3850.0,6631.0,14004.0,5075.22,14004.0,4044.0,4044.0,3850.0,7077.0,11389.0,14004.0
212,Aleppo,Jarablus,Ghandorah,27403.0,14393.0,14393.0,8987.0,18979.0,6384.9,18979.0,10961.0,5481.0,15851.0,7892.0,14235.0,18979.0
213,Aleppo,A'zaz,Tall Refaat,13630.0,1258.0,1258.0,4440.0,9440.0,3175.79,9440.0,5452.0,2726.0,2649.0,4034.0,7080.0,9440.0
214,Aleppo,Al Bab,Ar-Ra'ee,20031.0,6615.0,6615.0,6606.0,13873.0,4667.22,13873.0,8012.0,4006.0,8267.0,6453.0,10405.0,13873.0
215,Ar-Raqqa,Tell Abiad,Suluk,34520.0,3535.0,3535.0,10538.0,10057.0,7244.41,19331.0,3452.0,6904.0,7561.0,19331.0,5828.0,19331.0
216,Tartous,Safita,Mashta Elhiu,16710.0,9430.0,9430.0,5473.0,11573.0,4194.21,11573.0,3342.0,3342.0,9430.0,8616.0,9549.0,11573.0
217,Homs,Homs,Farqalas,16330.0,4930.0,4930.0,5342.0,11310.0,4245.8,11310.0,3266.0,1633.0,5003.0,7757.0,8483.0,11310.0
218,Rural Damascus,Rural Damascus,Maliha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,Tartous,Safita,Ras El-Khashufeh,16380.0,1470.0,1470.0,5337.0,11345.0,4111.38,11345.0,1638.0,819.0,1470.0,8446.0,9360.0,11345.0
220,Hama,As-Suqaylabiyah,Shat-ha,15040.0,0.0,0.0,4932.0,10417.0,3910.4,12408.0,1504.0,1504.0,0.0,12408.0,7813.0,12408.0
221,Rural Damascus,Yabroud,Esal El-Ward,4550.0,390.0,390.0,1532.0,3151.0,1019.2,3151.0,455.0,910.0,932.0,1536.0,2364.0,3151.0
222,Rural Damascus,Az-Zabdani,Dimas,17710.0,4110.0,4110.0,5808.0,12266.0,3967.04,12266.0,1771.0,7084.0,4110.0,9132.0,9200.0,12266.0
223,As-Sweida,Salkhad,Thibeen,7500.0,580.0,580.0,2472.0,5195.0,1612.5,5195.0,750.0,750.0,580.0,3563.0,4286.0,5195.0
224,Tartous,Safita,Sisniyyeh,17370.0,2300.0,2300.0,5692.0,12030.0,4359.87,12030.0,1737.0,3474.0,2300.0,6731.0,10477.0,12030.0
225,Tartous,Tartous,Kareemeh,11560.0,1040.0,1040.0,3793.0,8006.0,2901.56,8006.0,2312.0,2312.0,1040.0,4624.0,6973.0,8006.0
226,Hama,As-Salamiyeh,Eastern Bari,3970.0,470.0,470.0,1310.0,2750.0,1032.2,3036.0,794.0,397.0,660.0,1861.0,3036.0,3036.0
227,Tartous,Tartous,Kherbet Elma'aza,16770.0,2160.0,2160.0,5506.0,11615.0,4209.27,11615.0,1677.0,1677.0,2160.0,8720.0,8518.0,11615.0
228,Tartous,Tartous,Safsafa,17160.0,1540.0,1540.0,5635.0,11885.0,4307.16,11885.0,858.0,3432.0,1540.0,8151.0,10350.0,11885.0
229,Dar'a,As-Sanamayn,Masmiyyeh,12120.0,1600.0,1600.0,3970.0,8394.0,2496.72,11249.0,2424.0,1212.0,1600.0,11249.0,6879.0,11249.0
230,Hama,As-Salamiyeh,Saboura,4010.0,1340.0,1340.0,1293.0,2777.0,1042.6,2777.0,802.0,401.0,1352.0,1003.0,2404.0,2777.0
231,Lattakia,Al-Haffa,Kansaba,600.0,0.0,0.0,197.0,416.0,156.0,416.0,60.0,60.0,0.0,168.0,312.0,416.0
232,Lattakia,Jablah,Dalyeh,9570.0,360.0,360.0,3134.0,6628.0,2488.2,6628.0,957.0,1914.0,360.0,3350.0,4971.0,6628.0
233,Aleppo,Al Bab,Eastern Kwaires ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,Tartous,Banyas,Anaza,15300.0,2000.0,2000.0,5028.0,10597.0,3840.3,10597.0,1530.0,1530.0,2000.0,4303.0,8500.0,10597.0
235,Aleppo,As-Safira,Khanaser,540.0,0.0,0.0,177.0,374.0,125.82,374.0,54.0,54.0,0.0,183.0,281.0,374.0
236,Homs,Tall Kalakh,Hadideh,41567.0,0.0,0.0,0.0,28789.0,10807.42,28789.0,0.0,2078.0,0.0,17146.0,21593.0,28789.0
237,Tartous,Sheikh Badr,Qumseyyeh,13460.0,3190.0,3190.0,4404.0,9322.0,3378.46,9322.0,1346.0,1346.0,3190.0,3575.0,2564.0,9322.0
238,Rural Damascus,At Tall,Rankus,9870.0,60.0,60.0,2921.0,6836.0,2210.88,8019.0,1974.0,987.0,60.0,8019.0,5640.0,8019.0
239,Tartous,Dreikish,Dweir Raslan,11060.0,2240.0,2240.0,3624.0,7660.0,2776.06,10023.0,2212.0,2212.0,2240.0,10023.0,5618.0,10023.0
240,Homs,Tadmor,Sokhneh,13870.0,860.0,860.0,4478.0,9606.0,3606.2,9606.0,1387.0,1387.0,2562.0,9479.0,7205.0,9606.0
241,Aleppo,Afrin,Sheikh El-Hadid,12830.0,5080.0,5080.0,4177.0,8886.0,2989.39,8886.0,5132.0,2566.0,6012.0,3849.0,1222.0,8886.0
242,Homs,Homs,Qaryatein,800.0,0.0,0.0,0.0,554.0,208.0,554.0,0.0,0.0,0.0,509.0,416.0,554.0
243,Lattakia,Al-Haffa,Al-Haffa,10120.0,830.0,830.0,3314.0,7009.0,2631.2,7009.0,2024.0,2024.0,830.0,5397.0,5257.0,7009.0
244,As-Sweida,As-Sweida,Mashnaf,12610.0,90.0,90.0,4143.0,8734.0,2711.15,8734.0,1261.0,1261.0,90.0,6936.0,4003.0,8734.0
245,Homs,Tadmor,Tadmor,3180.0,70.0,70.0,1049.0,2202.0,826.8,2798.0,318.0,318.0,193.0,2798.0,1491.0,2798.0
246,Lattakia,Jablah,Ein Elsharqiyeh,11240.0,640.0,640.0,3677.0,7785.0,2922.4,7785.0,1124.0,1124.0,640.0,3147.0,5839.0,7785.0
247,As-Sweida,Salkhad,Milh,11880.0,360.0,360.0,3905.0,8228.0,2554.2,8228.0,1188.0,1188.0,360.0,5643.0,6034.0,8228.0
248,Tartous,Banyas,Rawda,10290.0,1020.0,1020.0,3375.0,7127.0,2582.79,7127.0,1029.0,2058.0,1020.0,3859.0,5227.0,7127.0
249,Lattakia,Lattakia,Qastal Maaf,9210.0,1240.0,1240.0,3020.0,6379.0,2394.6,6379.0,1842.0,921.0,1240.0,4622.0,4784.0,6379.0
250,Tartous,Safita,Sibbeh,6000.0,520.0,520.0,1963.0,4156.0,1506.0,4156.0,600.0,600.0,520.0,3750.0,3429.0,4156.0
251,As-Sweida,Shahba,Little Sura,11250.0,360.0,360.0,3697.0,7792.0,2418.75,7792.0,1125.0,1125.0,360.0,6187.0,6786.0,7792.0
252,As-Sweida,Salkhad,Qarayya,10945.0,2110.0,2110.0,3656.0,7581.0,2353.18,7581.0,2189.0,547.0,2110.0,3502.0,5837.0,7581.0
253,Rural Damascus,At Tall,Sidnaya,10050.0,790.0,790.0,3278.0,6961.0,2251.2,6961.0,1005.0,1005.0,790.0,5360.0,5743.0,6961.0
254,Homs,Homs,Shin,28101.0,0.0,0.0,0.0,19463.0,7306.26,19463.0,1405.0,2810.0,0.0,14267.0,12043.0,19463.0
255,Rural Damascus,Duma,Sabe Byar,78850.0,78800.0,78800.0,24719.0,589.0,17662.4,78800.0,31540.0,15770.0,78800.0,26651.0,442.0,78800.0
256,Lattakia,Al-Haffa,Salanfa,3950.0,160.0,160.0,1290.0,2736.0,1027.0,2736.0,790.0,790.0,160.0,1106.0,2052.0,2736.0
257,Lattakia,Jablah,Ein Shaqaq,9700.0,520.0,520.0,3176.0,6718.0,2522.0,6718.0,970.0,970.0,520.0,3031.0,5039.0,6718.0
258,Lattakia,Jablah,Beit Yashout,8720.0,360.0,360.0,2821.0,6039.0,2267.2,6039.0,872.0,1744.0,360.0,2442.0,4530.0,6039.0
259,Lattakia,Lattakia,Rabee'a,1300.0,0.0,0.0,378.0,900.0,338.0,900.0,0.0,0.0,0.0,395.0,675.0,900.0
260,Al-Hasakeh,Al-Hasakeh,Be'r Al-Hulo Al-Wardeyyeh,2990.0,200.0,200.0,979.0,2071.0,615.94,2990.0,598.0,1196.0,565.0,2990.0,664.0,2990.0
261,Tartous,Dreikish,Hamin,6690.0,440.0,440.0,2194.0,4633.0,1679.19,4633.0,669.0,0.0,440.0,1045.0,3398.0,4633.0
262,Tartous,Banyas,Taleen,6160.0,1160.0,1160.0,2014.0,4266.0,1546.16,4716.0,616.0,1232.0,1160.0,4716.0,3129.0,4716.0
263,Lattakia,Al-Haffa,Mzair'a,6690.0,170.0,170.0,2188.0,4633.0,1739.4,4633.0,669.0,669.0,170.0,1873.0,3475.0,4633.0
264,Tartous,Safita,Bariqiyeh,6100.0,730.0,730.0,1996.0,4225.0,1531.1,4575.0,610.0,1220.0,730.0,4575.0,3486.0,4575.0
265,Lattakia,Al-Qardaha,Harf Elmseitra,4950.0,400.0,400.0,1619.0,3428.0,1287.0,3428.0,495.0,990.0,400.0,2784.0,2571.0,3428.0
266,Tartous,Banyas,Tawahin,5980.0,1030.0,1030.0,1955.0,4142.0,1500.98,4142.0,1196.0,2392.0,1030.0,1682.0,3322.0,4142.0
267,Lattakia,Lattakia,Bahlawaniyeh,4860.0,120.0,120.0,1594.0,3366.0,1263.6,3366.0,486.0,972.0,120.0,1361.0,2525.0,3366.0
268,Lattakia,Al-Haffa,Ein Et-teeneh,3800.0,120.0,120.0,1246.0,2632.0,988.0,2632.0,380.0,380.0,120.0,1283.0,1974.0,2632.0
269,Lattakia,Lattakia,Kasab,830.0,380.0,380.0,267.0,575.0,215.8,575.0,332.0,166.0,380.0,239.0,431.0,575.0
